"Levels of Key Employment Indicators: April 2005 to June 2026"
"Year","Month","Total Population 15 Years Old and Over Both sexes","Total Population 15 Years Old and Over Male","Total Population 15 Years Old and Over Female","Persons in the Labor Force Both sexes","Persons in the Labor Force Male","Persons in the Labor Force Female","Employed Persons Both sexes","Employed Persons Male","Employed Persons Female","Unemployed Persons Both sexes","Unemployed Persons Male","Unemployed Persons Female","Underemployed Persons Both sexes","Underemployed Persons Male","Underemployed Persons Female"
"2016","January",67889.467,34022.432,33867.035,43144.106,26111.344,17032.763,40689.306,24542.221,16147.086,2454.800,1569.123,885.677,7975.000,5381.212,2593.789
"2016","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","April",68166.745,34035.392,34131.353,43289.288,26615.647,16673.640,40664.012,24955.133,15708.879,2625.275,1660.514,964.761,7430.690,5151.392,2279.298
"2016","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","July",68443.254,34204.856,34238.398,43286.001,26514.603,16771.399,40953.781,25104.282,15849.499,2332.220,1410.320,921.900,7134.423,4933.489,2200.933
"2016","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","October",68743.014,34473.583,34269.431,43724.359,26842.564,16881.795,41684.774,25537.515,16147.259,2039.586,1305.049,734.537,7510.063,5237.222,2272.841
"2016","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2016","Annual",68310.620,34184.066,34126.554,43360.939,26521.040,16839.899,40997.968,25034.788,15963.181,2362.970,1486.252,876.719,7512.544,5175.829,2336.715
"2017","January",69413.616,34751.315,34662.301,42108.795,26436.842,15671.953,39347.397,24513.564,14833.834,2761.397,1923.279,838.119,6397.779,4491.944,1905.835
"2017","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","April",69605.105,34803.782,34801.323,42713.789,26644.936,16068.853,40271.057,25087.982,15183.076,2442.732,1556.955,885.777,6468.486,4465.419,2003.067
"2017","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","July",70163.564,35135.639,35027.925,42544.319,26612.682,15931.637,40171.003,25092.950,15078.054,2373.316,1519.733,853.583,6541.050,4472.421,2068.629
"2017","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","October",70380.458,35324.490,35055.968,43731.887,26975.146,16756.741,41546.509,25573.084,15973.424,2185.379,1402.062,783.317,6615.510,4432.895,2182.615
"2017","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2017","Annual",69890.686,35003.807,34886.879,42774.698,26667.402,16107.296,40333.992,25066.895,15267.097,2440.706,1600.507,840.199,6505.706,4465.670,2040.037
"2018","January",70896.896,35520.090,35376.806,44075.164,27279.886,16795.278,41755.035,25760.206,15994.829,2320.129,1519.680,800.450,7497.695,5215.025,2282.670
"2018","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","April",71014.577,35589.896,35424.681,43257.020,26788.166,16468.854,40896.367,25307.191,15589.176,2360.653,1480.975,879.679,6935.005,4617.269,2317.736
"2018","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","July",71561.247,35876.359,35684.888,42978.974,26503.590,16475.384,40649.711,25081.407,15568.304,2329.264,1422.183,907.080,7002.838,4778.832,2224.006
"2018","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","October",71884.788,36141.332,35743.457,43528.462,26949.789,16578.673,41325.026,25548.430,15776.596,2203.436,1401.359,802.077,5501.787,3777.614,1724.172
"2018","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","Annual",71339.377,35781.919,35557.458,43459.905,26880.358,16579.547,41156.535,25424.309,15732.226,2303.371,1456.049,847.322,6734.331,4597.185,2137.146
"2019","January",71731.297,36035.500,35695.797,43209.273,26593.804,16615.469,40923.712,25120.131,15803.581,2285.561,1473.673,811.887,6309.590,4297.307,2012.284
"2019","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","April",71793.644,36003.015,35790.629,44038.188,27104.567,16933.622,41769.920,25678.238,16091.682,2268.268,1426.328,841.940,5566.869,3817.130,1749.740
"2019","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","July",72445.767,36384.013,36061.754,44958.832,27396.895,17561.937,42521.488,25922.448,16599.040,2437.344,1474.447,962.898,5798.555,3891.007,1907.548
"2019","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","October",72603.129,36469.570,36133.558,44582.179,27323.694,17258.486,42536.931,26070.866,16466.065,2045.249,1252.828,792.421,5438.118,3707.261,1730.856
"2019","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","Annual",72143.459,36223.025,35920.435,44197.118,27104.740,17092.379,41938.013,25697.921,16240.092,2259.106,1406.819,852.287,5778.283,3928.176,1850.107
"2020","January",72840.631,36570.623,36270.008,44934.226,27371.887,17562.339,42542.941,25859.698,16683.243,2391.285,1512.189,879.096,6298.904,4211.050,2087.854
"2020","February",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","March",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","April",73722.280,36957.004,36765.276,41058.333,25785.293,15273.039,33830.212,20943.933,12886.279,7228.121,4841.360,2386.760,6397.972,4369.600,2028.372
"2020","May",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","June",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","July",74060.368,37193.630,36866.738,45870.704,27997.862,17872.842,41301.649,25207.795,16093.854,4569.054,2790.066,1778.988,7136.267,4797.804,2338.464
"2020","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","October",74306.579,37396.533,36910.046,43649.374,27044.295,16605.078,39836.564,24704.858,15131.706,3812.810,2339.437,1473.372,5747.340,3933.467,1813.873
"2020","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","Annual",73732.465,37029.448,36703.017,43878.159,27049.834,16828.325,39377.842,24179.071,15198.771,4500.318,2870.763,1629.554,6395.121,4327.980,2067.141
"2021","January",74732.578,37532.909,37199.668,45211.636,27753.065,17458.571,41247.729,25323.004,15924.725,3963.907,2430.061,1533.846,6588.671,4453.531,2135.139
"2021","February",74603.143,37420.031,37183.112,47340.920,28424.286,18916.634,43153.471,26037.174,17116.296,4187.450,2387.112,1800.338,7850.421,5280.891,2569.530
"2021","March",75029.461,37714.042,37315.419,48772.060,28946.481,19825.580,45331.551,27044.210,18287.341,3440.510,1902.271,1538.239,7335.315,4882.648,2452.667
"2021","April",74970.515,37636.150,37334.364,47406.825,28212.044,19194.780,43268.969,25826.970,17441.999,4137.856,2385.074,1752.781,7452.630,4904.136,2548.493
"2021","May",75043.520,37683.350,37360.169,48456.204,28697.711,19758.492,44716.897,26468.923,18247.974,3739.307,2228.788,1510.519,5490.923,3722.113,1768.811
"2021","June",75089.036,37694.287,37394.749,48846.060,28764.676,20081.384,45075.633,26801.518,18274.115,3770.428,1963.158,1807.269,6409.690,4148.729,2260.960
"2021","July",75574.194,37941.268,37632.925,44900.365,27293.193,17607.172,41670.982,25452.736,16218.246,3229.383,1840.457,1388.925,8769.021,5840.019,2929.002
"2021","August",75609.524,37954.649,37654.876,48113.089,28757.216,19355.873,44231.042,26485.806,17745.236,3882.047,2271.410,1610.637,6482.352,4379.726,2102.627
"2021","September",75570.220,37910.102,37660.118,47872.598,28627.013,19245.585,43592.928,26224.637,17368.291,4279.671,2402.376,1877.295,6182.632,4157.409,2025.223
"2021","October",75566.851,38027.352,37539.498,47325.492,28483.346,18842.146,43821.554,26422.491,17399.063,3503.938,2060.855,1443.083,7043.587,4764.409,2279.178
"2021","November",75700.707,38034.415,37666.292,48634.296,28955.364,19678.932,45474.286,27105.524,18368.762,3160.010,1849.840,1310.170,7617.748,4972.100,2645.648
"2021","December",76123.301,38204.302,37918.999,49558.171,29061.609,20496.562,46274.469,27212.355,19062.114,3283.702,1849.254,1434.448,6811.001,4539.840,2271.161
"2021","Annual",75301.088,37812.738,37488.349,47703.143,28498.000,19205.143,43988.293,26367.112,17621.180,3714.851,2130.888,1583.963,7002.833,4670.463,2332.370
"2022","January",76346.964,38298.819,38048.145,46216.843,27899.947,18316.896,43264.382,26192.659,17071.723,2952.462,1707.288,1245.173,6431.480,4296.044,2135.436
"2022","February",76153.760,38308.930,37844.830,48606.066,28993.624,19612.442,45480.024,27285.647,18194.377,3126.042,1707.977,1418.065,6381.934,4157.734,2224.200
"2022","March",76256.184,38296.946,37959.238,49852.471,29470.737,20381.734,46975.031,27900.418,19074.612,2877.440,1570.318,1307.122,7421.702,4882.827,2538.875
"2022","April",76373.891,38340.994,38032.897,48393.624,28793.989,19599.635,45630.306,27144.061,18486.245,2763.318,1649.928,1113.390,6398.617,4179.608,2219.010
"2022","May",76531.724,38471.615,38060.109,49010.943,29047.715,19963.228,46083.587,27322.935,18760.651,2927.356,1724.780,1202.576,6667.941,4308.311,2359.630
"2022","June",76540.345,38343.285,38197.059,49581.405,29273.466,20307.939,46591.561,27690.820,18900.741,2989.844,1582.646,1407.198,5887.680,3903.852,1983.828
"2022","July",76639.158,38465.545,38173.613,49993.614,29404.158,20589.456,47391.497,27904.217,19487.280,2602.117,1499.941,1102.176,6542.736,4280.344,2262.392
